camTrap,species,date,time24,timeD,period
LOC001,cuniculusPaca,07/09/2016,00:00:33,0,nocturnal
LOC001,leopardusPardalis,21/01/2018,00:17:24,0.012,nocturnal
LOC001,cuniculusPaca,09/09/2016,00:39:21,0.027,nocturnal
LOC001,dasypusNovemcinctus,22/12/2016,00:44:29,0.031,nocturnal
LOC001,cuniculusPaca,06/03/2017,00:59:31,0.041,nocturnal
LOC001,leopardusTigrinus,02/11/2017,01:07:19,0.047,nocturnal
LOC001,leopardusTigrinus,16/10/2016,01:11:14,0.049,nocturnal
LOC001,leopardusTigrinus,11/11/2017,01:15:18,0.052,nocturnal
LOC001,leopardusTigrinus,01/11/2016,01:20:22,0.056,nocturnal
LOC001,cuniculusPaca,07/01/2017,01:47:05,0.074,nocturnal
LOC001,cuniculusPaca,10/10/2016,01:51:36,0.078,nocturnal
LOC001,dasypusNovemcinctus,15/12/2017,02:01:21,0.084,nocturnal
LOC001,cuniculusPaca,04/10/2016,02:02:47,0.085,nocturnal
LOC001,leopardusTigrinus,24/08/2017,02:15:38,0.094,nocturnal
LOC001,dasypusNovemcinctus,20/06/2018,02:36:26,0.109,nocturnal
LOC001,cuniculusPaca,11/10/2016,02:38:14,0.11,nocturnal
LOC001,leopardusTigrinus,07/08/2016,03:00:33,0.125,nocturnal
LOC001,leopardusPardalis,20/01/2017,03:28:48,0.145,nocturnal
LOC001,leopardusTigrinus,18/01/2018,04:08:25,0.173,nocturnal
LOC001,cuniculusPaca,13/09/2016,04:26:08,0.185,nocturnal
LOC001,dasypusNovemcinctus,02/11/2016,04:45:14,0.198,nocturnal
LOC001,leopardusTigrinus,13/11/2017,05:17:07,0.22,nocturnal
LOC001,dasypusNovemcinctus,01/12/2017,05:20:34,0.223,diurnal
LOC001,leopardusTigrinus,29/11/2016,05:26:18,0.227,nocturnal
LOC001,leopardusPardalis,29/07/2016,05:44:00,0.239,diurnal
LOC001,tremarctosOrnatus,22/10/2016,06:06:19,0.254,diurnal
LOC001,pumaConcolor,07/01/2018,06:16:43,0.262,diurnal
LOC001,tremarctosOrnatus,31/08/2017,07:17:31,0.304,diurnal
LOC001,tremarctosOrnatus,05/09/2017,07:18:16,0.304,diurnal
LOC001,tremarctosOrnatus,03/08/2016,07:25:19,0.309,diurnal
LOC001,sciurusGranatensis,18/01/2018,07:35:01,0.316,diurnal
LOC001,sciurusGranatensis,20/10/2017,07:38:36,0.318,diurnal
LOC001,tremarctosOrnatus,19/01/2017,08:32:25,0.356,diurnal
LOC001,pumaConcolor,28/02/2017,08:35:02,0.358,diurnal
LOC001,tremarctosOrnatus,02/12/2016,08:35:22,0.358,diurnal
LOC001,tremarctosOrnatus,16/09/2017,08:35:22,0.358,diurnal
LOC001,tremarctosOrnatus,24/10/2016,08:41:17,0.362,diurnal
LOC001,human,05/09/2017,08:55:46,0.372,diurnal
LOC001,human,05/09/2017,08:55:46,0.372,diurnal
LOC001,human,05/09/2017,08:55:46,0.372,diurnal
LOC001,human,05/09/2017,08:55:46,0.372,diurnal
LOC001,human,05/09/2017,08:55:46,0.372,diurnal
LOC001,human,14/12/2016,09:00:30,0.375,diurnal
LOC001,human,24/08/2017,09:02:43,0.377,diurnal
LOC001,human,24/08/2017,09:02:43,0.377,diurnal
LOC001,human,24/08/2017,09:02:43,0.377,diurnal
LOC001,human,24/08/2017,09:02:43,0.377,diurnal
LOC001,human,17/12/2017,09:06:02,0.379,diurnal
LOC001,human,23/08/2017,09:06:47,0.38,diurnal
LOC001,human,23/08/2017,09:06:47,0.38,diurnal
LOC001,human,23/08/2017,09:06:47,0.38,diurnal
LOC001,human,23/08/2017,09:06:47,0.38,diurnal
LOC001,human,23/08/2017,09:06:47,0.38,diurnal
LOC001,tremarctosOrnatus,21/10/2016,09:10:15,0.382,diurnal
LOC001,human,04/07/2018,09:14:34,0.385,diurnal
LOC001,human,04/07/2018,09:14:34,0.385,diurnal
LOC001,human,04/07/2018,09:14:34,0.385,diurnal
LOC001,human,04/07/2018,09:14:34,0.385,diurnal
LOC001,human,04/07/2018,09:14:34,0.385,diurnal
LOC001,human,04/07/2018,09:14:34,0.385,diurnal
LOC001,human,04/09/2016,09:17:47,0.387,diurnal
LOC001,human,17/02/2018,09:20:37,0.389,diurnal
LOC001,human,24/08/2017,09:35:59,0.4,diurnal
LOC001,human,18/12/2016,09:39:31,0.402,diurnal
LOC001,human,18/12/2016,09:39:31,0.402,diurnal
LOC001,human,18/12/2016,09:39:31,0.402,diurnal
LOC001,human,18/12/2016,09:39:31,0.402,diurnal
LOC001,human,18/12/2016,09:39:31,0.402,diurnal
LOC001,human,18/12/2016,09:39:31,0.402,diurnal
LOC001,human,18/12/2016,09:39:31,0.402,diurnal
LOC001,human,18/12/2016,09:39:31,0.402,diurnal
LOC001,human,18/12/2016,09:39:31,0.402,diurnal
LOC001,human,18/12/2016,09:39:31,0.402,diurnal
LOC001,human,18/12/2016,09:39:31,0.402,diurnal
LOC001,human,18/12/2016,09:39:31,0.402,diurnal
LOC001,tremarctosOrnatus,05/07/2018,09:44:41,0.406,diurnal
LOC001,tremarctosOrnatus,24/06/2018,09:45:41,0.407,diurnal
LOC001,human,10/07/2018,09:46:22,0.407,diurnal
LOC001,human,08/01/2017,09:47:51,0.408,diurnal
LOC001,human,08/01/2017,09:47:51,0.408,diurnal
LOC001,human,08/01/2017,09:47:51,0.408,diurnal
LOC001,human,08/01/2017,09:47:51,0.408,diurnal
LOC001,human,08/01/2017,09:47:51,0.408,diurnal
LOC001,human,08/01/2017,09:47:51,0.408,diurnal
LOC001,human,08/01/2017,09:47:51,0.408,diurnal
LOC001,human,14/07/2018,09:51:18,0.411,diurnal
LOC001,human,14/07/2018,09:51:18,0.411,diurnal
LOC001,human,14/07/2018,09:51:18,0.411,diurnal
LOC001,human,14/07/2018,09:51:18,0.411,diurnal
LOC001,human,15/07/2016,09:55:21,0.413,diurnal
LOC001,human,15/07/2016,09:55:21,0.413,diurnal
LOC001,human,15/07/2016,09:55:21,0.413,diurnal
LOC001,human,15/07/2016,09:55:21,0.413,diurnal
LOC001,human,15/07/2016,09:55:21,0.413,diurnal
LOC001,human,15/07/2016,09:55:21,0.413,diurnal
LOC001,human,15/07/2016,09:55:21,0.413,diurnal
LOC001,human,15/07/2016,09:55:21,0.413,diurnal
LOC001,human,15/07/2016,09:55:21,0.413,diurnal
LOC001,human,15/07/2016,09:55:21,0.413,diurnal
LOC001,human,15/07/2016,09:55:21,0.413,diurnal
LOC001,human,17/12/2016,09:59:06,0.416,diurnal
LOC001,human,17/12/2016,09:59:06,0.416,diurnal
LOC001,human,17/12/2016,09:59:06,0.416,diurnal
LOC001,human,17/12/2016,09:59:06,0.416,diurnal
LOC001,human,17/12/2016,09:59:06,0.416,diurnal
LOC001,human,17/12/2016,09:59:06,0.416,diurnal
LOC001,human,06/03/2017,10:00:27,0.417,diurnal
LOC001,human,06/03/2017,10:00:27,0.417,diurnal
LOC001,human,06/03/2017,10:00:27,0.417,diurnal
LOC001,human,19/08/2016,10:04:31,0.42,diurnal
LOC001,human,19/08/2016,10:04:31,0.42,diurnal
LOC001,human,19/08/2016,10:04:31,0.42,diurnal
LOC001,human,24/08/2017,10:11:13,0.424,diurnal
LOC001,human,15/07/2018,10:12:12,0.425,diurnal
LOC001,human,15/07/2018,10:12:12,0.425,diurnal
LOC001,human,15/07/2018,10:12:12,0.425,diurnal
LOC001,human,15/07/2018,10:12:12,0.425,diurnal
LOC001,human,15/07/2018,10:12:12,0.425,diurnal
LOC001,human,15/07/2018,10:12:12,0.425,diurnal
LOC001,human,15/07/2018,10:12:12,0.425,diurnal
LOC001,human,15/07/2018,10:12:12,0.425,diurnal
LOC001,human,15/07/2018,10:12:12,0.425,diurnal
LOC001,human,15/07/2018,10:12:12,0.425,diurnal
LOC001,human,15/07/2018,10:12:12,0.425,diurnal
LOC001,human,15/07/2018,10:12:12,0.425,diurnal
LOC001,human,15/07/2018,10:12:12,0.425,diurnal
LOC001,human,22/09/2016,10:17:16,0.429,diurnal
LOC001,human,22/09/2016,10:17:16,0.429,diurnal
LOC001,human,22/09/2016,10:17:16,0.429,diurnal
LOC001,human,22/09/2016,10:17:16,0.429,diurnal
LOC001,human,22/09/2016,10:17:16,0.429,diurnal
LOC001,human,07/01/2017,10:18:28,0.429,diurnal
LOC001,human,07/01/2017,10:18:28,0.429,diurnal
LOC001,human,07/01/2017,10:18:28,0.429,diurnal
LOC001,human,07/01/2017,10:18:28,0.429,diurnal
LOC001,human,12/12/2017,10:19:07,0.43,diurnal
LOC001,human,30/08/2017,10:28:20,0.436,diurnal
LOC001,human,30/08/2017,10:28:20,0.436,diurnal
LOC001,human,27/07/2016,10:29:26,0.437,diurnal
LOC001,human,27/07/2016,10:29:26,0.437,diurnal
LOC001,human,27/07/2016,10:29:26,0.437,diurnal
LOC001,human,21/07/2016,10:30:16,0.438,diurnal
LOC001,human,21/07/2016,10:30:16,0.438,diurnal
LOC001,human,22/12/2016,10:30:45,0.438,diurnal
LOC001,human,22/12/2016,10:30:45,0.438,diurnal
LOC001,human,22/12/2016,10:30:45,0.438,diurnal
LOC001,human,22/12/2016,10:30:45,0.438,diurnal
LOC001,human,22/12/2016,10:30:45,0.438,diurnal
LOC001,human,23/09/2017,10:31:19,0.438,diurnal
LOC001,human,23/09/2017,10:31:19,0.438,diurnal
LOC001,human,23/09/2017,10:31:19,0.438,diurnal
LOC001,human,23/09/2017,10:31:19,0.438,diurnal
LOC001,human,23/09/2017,10:31:19,0.438,diurnal
LOC001,human,22/07/2016,10:31:45,0.439,diurnal
LOC001,human,22/07/2016,10:31:45,0.439,diurnal
LOC001,human,13/12/2016,10:34:01,0.44,diurnal
LOC001,human,18/12/2017,10:34:11,0.44,diurnal
LOC001,human,18/12/2017,10:34:11,0.44,diurnal
LOC001,human,18/12/2017,10:34:11,0.44,diurnal
LOC001,human,18/12/2017,10:34:11,0.44,diurnal
LOC001,human,18/12/2017,10:34:11,0.44,diurnal
LOC001,human,18/12/2017,10:34:11,0.44,diurnal
LOC001,human,18/12/2017,10:34:11,0.44,diurnal
LOC001,human,18/12/2017,10:34:11,0.44,diurnal
LOC001,human,18/12/2017,10:34:11,0.44,diurnal
LOC001,human,18/12/2017,10:34:11,0.44,diurnal
LOC001,human,18/12/2017,10:34:11,0.44,diurnal
LOC001,human,18/12/2017,10:34:11,0.44,diurnal
LOC001,human,18/12/2017,10:34:11,0.44,diurnal
LOC001,human,18/12/2017,10:34:11,0.44,diurnal
LOC001,human,18/12/2017,10:34:11,0.44,diurnal
LOC001,human,18/12/2017,10:34:11,0.44,diurnal
LOC001,human,18/12/2017,10:34:11,0.44,diurnal
LOC001,human,18/12/2017,10:34:11,0.44,diurnal
LOC001,human,08/10/2016,10:34:12,0.44,diurnal
LOC001,human,24/08/2017,10:34:59,0.441,diurnal
LOC001,human,24/08/2017,10:34:59,0.441,diurnal
LOC001,human,24/08/2017,10:34:59,0.441,diurnal
LOC001,human,27/07/2016,10:36:50,0.442,diurnal
LOC001,human,23/07/2016,10:41:45,0.446,diurnal
LOC001,human,23/07/2016,10:41:45,0.446,diurnal
LOC001,human,23/07/2016,10:41:45,0.446,diurnal
LOC001,human,29/06/2018,10:48:11,0.45,diurnal
LOC001,human,29/06/2018,10:48:11,0.45,diurnal
LOC001,human,29/06/2018,10:48:11,0.45,diurnal
LOC001,human,29/06/2018,10:48:11,0.45,diurnal
LOC001,human,29/06/2018,10:48:11,0.45,diurnal
LOC001,human,29/06/2018,10:48:11,0.45,diurnal
LOC001,human,29/06/2018,10:48:11,0.45,diurnal
LOC001,human,29/06/2018,10:48:11,0.45,diurnal
LOC001,human,29/06/2018,10:48:11,0.45,diurnal
LOC001,human,29/06/2018,10:48:11,0.45,diurnal
LOC001,human,29/06/2018,10:48:11,0.45,diurnal
LOC001,human,29/06/2018,10:48:11,0.45,diurnal
LOC001,human,29/06/2018,10:48:11,0.45,diurnal
LOC001,human,29/06/2018,10:48:11,0.45,diurnal
LOC001,human,29/06/2018,10:48:11,0.45,diurnal
LOC001,human,03/07/2018,10:49:35,0.451,diurnal
LOC001,human,03/07/2018,10:49:35,0.451,diurnal
LOC001,human,03/07/2018,10:49:35,0.451,diurnal
LOC001,human,03/07/2018,10:49:35,0.451,diurnal
LOC001,human,03/07/2018,10:49:35,0.451,diurnal
LOC001,human,22/06/2017,10:49:38,0.451,diurnal
LOC001,human,22/06/2017,10:49:38,0.451,diurnal
LOC001,human,22/06/2017,10:49:38,0.451,diurnal
LOC001,human,22/06/2017,10:49:38,0.451,diurnal
LOC001,human,22/06/2017,10:49:38,0.451,diurnal
LOC001,human,22/06/2017,10:49:38,0.451,diurnal
LOC001,human,22/06/2017,10:49:38,0.451,diurnal
LOC001,human,22/06/2017,10:49:38,0.451,diurnal
LOC001,human,22/06/2017,10:49:38,0.451,diurnal
LOC001,human,22/06/2017,10:49:38,0.451,diurnal
LOC001,human,22/06/2017,10:49:38,0.451,diurnal
LOC001,human,22/06/2017,10:49:38,0.451,diurnal
LOC001,human,22/06/2017,10:49:38,0.451,diurnal
LOC001,human,22/06/2017,10:49:38,0.451,diurnal
LOC001,human,22/06/2017,10:49:38,0.451,diurnal
LOC001,human,22/06/2017,10:49:38,0.451,diurnal
LOC001,human,22/06/2017,10:49:38,0.451,diurnal
LOC001,human,22/06/2017,10:49:38,0.451,diurnal
LOC001,human,22/06/2017,10:49:38,0.451,diurnal
LOC001,human,22/06/2017,10:49:38,0.451,diurnal
LOC001,tremarctosOrnatus,21/07/2016,10:52:35,0.453,diurnal
LOC001,human,04/09/2016,10:57:03,0.456,diurnal
LOC001,human,11/11/2017,10:58:46,0.457,diurnal
LOC001,human,23/07/2016,11:00:01,0.458,diurnal
LOC001,human,23/07/2016,11:00:01,0.458,diurnal
LOC001,human,23/07/2016,11:00:01,0.458,diurnal
LOC001,human,23/07/2016,11:00:01,0.458,diurnal
LOC001,human,23/07/2016,11:00:01,0.458,diurnal
LOC001,human,23/07/2016,11:00:01,0.458,diurnal
LOC001,human,23/07/2016,11:00:01,0.458,diurnal
LOC001,human,23/07/2016,11:00:01,0.458,diurnal
LOC001,human,23/07/2016,11:00:01,0.458,diurnal
LOC001,human,18/12/2016,11:03:16,0.461,diurnal
LOC001,human,18/12/2016,11:03:16,0.461,diurnal
LOC001,human,18/12/2016,11:03:16,0.461,diurnal
LOC001,human,18/12/2016,11:03:16,0.461,diurnal
LOC001,human,18/12/2016,11:03:16,0.461,diurnal
LOC001,human,18/12/2016,11:03:16,0.461,diurnal
LOC001,human,18/12/2016,11:03:16,0.461,diurnal
LOC001,human,18/12/2016,11:03:16,0.461,diurnal
LOC001,human,18/12/2016,11:03:16,0.461,diurnal
LOC001,human,18/12/2016,11:03:16,0.461,diurnal
LOC001,human,18/12/2016,11:03:16,0.461,diurnal
LOC001,human,18/12/2016,11:03:16,0.461,diurnal
LOC001,human,18/12/2016,11:03:16,0.461,diurnal
LOC001,human,18/12/2016,11:03:16,0.461,diurnal
LOC001,human,18/12/2016,11:03:16,0.461,diurnal
LOC001,human,18/12/2016,11:03:16,0.461,diurnal
LOC001,human,18/12/2016,11:03:16,0.461,diurnal
LOC001,human,18/12/2016,11:03:16,0.461,diurnal
LOC001,human,18/12/2016,11:03:16,0.461,diurnal
LOC001,human,16/10/2017,11:06:11,0.463,diurnal
LOC001,human,16/10/2017,11:06:11,0.463,diurnal
LOC001,human,13/10/2016,11:06:33,0.463,diurnal
LOC001,human,13/10/2016,11:06:33,0.463,diurnal
LOC001,human,27/10/2016,11:07:24,0.463,diurnal
LOC001,human,27/10/2016,11:07:24,0.463,diurnal
LOC001,human,27/10/2016,11:07:24,0.463,diurnal
LOC001,human,27/10/2016,11:07:24,0.463,diurnal
LOC001,human,27/10/2016,11:07:24,0.463,diurnal
LOC001,human,10/07/2018,11:07:52,0.464,diurnal
LOC001,human,22/07/2016,11:10:00,0.465,diurnal
LOC001,human,06/03/2017,11:12:21,0.467,diurnal
LOC001,human,06/03/2017,11:12:21,0.467,diurnal
LOC001,human,06/03/2017,11:12:21,0.467,diurnal
LOC001,human,29/08/2017,11:16:24,0.47,diurnal
LOC001,human,29/08/2017,11:16:24,0.47,diurnal
LOC001,human,29/08/2017,11:16:24,0.47,diurnal
LOC001,tremarctosOrnatus,24/06/2018,11:19:17,0.472,diurnal
